name,animaltype,breed,colour,sex,suburb,AgeYears
JADA ,DOG ,MALT./SHIH TZU X ,WHITE ,F,BANNOCKBURN,
ROXY ,DOG ,BORDER COLLIE X ,BLACK/WHITE ,F,LETHBRIDGE,
BOLT ,DOG ,KELPIE ,TAN ,M,LETHBRIDGE,
MITZY ,CAT ,DOMESTIC SHORT HAIR ,TABBY ,F,LETHBRIDGE,
CHARLIE ,DOG ,ROTTWEILER X ,BLACK ,F,BANNOCKBURN,
BEN ,DOG ,ENGLISH POINTER X ,BLACK ,M,BANNOCKBURN,
SNOWY ,DOG ,STAFFORDSHIRE BULL TERRIER ,WHITE ,M,BANNOCKBURN,
WILLOW ,DOG ,GERMAN SHEPHERD ,BLACK/TAN ,F,BANNOCKBURN,
HORATIO ,DOG ,LABRADOR X ,BLACK ,M,BANNOCKBURN,
TIMMY ,DOG ,JACK RUSSELL TERRIER ,BLACK AND WHITE ,M,STEIGLITZ,
PATCHY ,DOG ,BLUE HEELER ,BLUE ,F,STEIGLITZ,
MASIE ,DOG ,JACK RUSSELL TERRIER ,WHITE & BLACK ,F,MAUDE,
BELLA ,DOG ,JACK RUSSELL TERRIER ,WHITE/TAN/BLACK ,F,MAUDE,
ERIK ,DOG ,AMERICAN BULL DOG ,BRINDLE AND WHITE ,M,MAUDE,
DASH ,DOG ,LABRADOR ,BLACK ,F,BATESFORD,
LAYLA ,DOG ,LABRADOR ,GOLDEN ,F,BATESFORD,
MAGGIE ,DOG ,BLUE HEELER X ,BLACK/WHITE ,F,LETHBRIDGE,
BELLE ,DOG ,LABRADOR ,WHITE ,F,BANNOCKBURN,
ROXY ,DOG ,AMERICAN STAFFORDSHIRE TERRIER,TAN & WHITE ,F,BANNOCKBURN,
IZZY ,DOG ,FRENCH BULLDOG ,BLACK & WHITE ,F,BANNOCKBURN,
RALPH ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,M,INVERLEIGH,
BANJO ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,M,INVERLEIGH,
MILA ,DOG ,LABRADOR X ,BLACK ,F,INVERLEIGH,
GILBERT ,CAT ,CAT ,WHITE/GINGER ,M,BANNOCKBURN,
JESSIE ,DOG ,KELPIE X ,BLACK/TAN/WHITE ,F,BANNOCKBURN,
MIFFY ,CAT ,DOMESTIC SHORT HAIR ,TABBY/WHITE ,F,BANNOCKBURN,
BLOSSOM ,CAT ,DOMESTIC LONG HAIR ,BLACK ,F,BANNOCKBURN,
AVA ,DOG ,BORDER COLLIE ,BLACK & WHITE ,F,BANNOCKBURN,
POPPY ,CAT ,DOMESTIC LONG HAIR ,GREY/WHITE ,F,BANNOCKBURN,
BENSON ,DOG ,BERNESE MOUNTAIN DOG ,BLACK WHITE TAN ,M,BANNOCKBURN,
DASHER ,DOG ,MALTESE TERRIER X ,WHITE AND TAN ,M,BANNOCKBURN,
MAXIMUS ,DOG ,BERNESE MOUNTAIN DOG ,BLACK WHITE & TAN ,M,BANNOCKBURN,
JAXON ,DOG ,STAFFORDSHIRE BULL TERRIER ,BRINDLE ,M,BANNOCKBURN,
FONZIE ,DOG ,STAFFORDSHIRE BULL TERRIER ,BLACK BRINDLE ,M,BANNOCKBURN,
MAGGIE ,DOG ,STAFFORDSHIRE BULL TERRIER ,BALCK & WHITE ,F,INVERLEIGH,
RUSSELL ,DOG ,CAVOODLE ,WHITE & GINGER ,M,BANNOCKBURN,
MOLLY ,CAT ,DOMESTIC SHORT HAIR ,GINGER ,F,BANNOCKBURN,
JOSIE ,DOG ,BORDER COLLIE ,TRI COLOUR ,F,BANNOCKBURN,
SMOKEY ,DOG ,WHIPPET ,GREY ,M,BANNOCKBURN,
MAX ,DOG ,AUSTRALIAN CATTLE DOG ,RED ,M,BANNOCKBURN,
STRAUCHANIE ,DOG ,BORDER COLLIE ,BLACK & WHITE ,M,MEREDITH,
MOLLY ,DOG ,STAFFORDSHIRE BULL TERRIER ,BLACK ,F,BANNOCKBURN,
HURLEY ,DOG ,BOERBOEL MASTIFF ,BRINDLE ,M,BANNOCKBURN,
GEORGE ,CAT ,MOGGIE ,GINGER ,M,BANNOCKBURN,
HUGO ,DOG ,SCHNAUZER ,SALT & PEPPER ,M,BANNOCKBURN,
TREVOR ,DOG ,CHIHUAHUA X ,TRI ,M,BANNOCKBURN,
CYNDER MAGIC ,DOG ,MALTESE TERRIER X ,BLACK AND WHITE ,F,BANNOCKBURN,
ELLA ,DOG ,MALTESE TERRIER X ,WHITE ,F,BANNOCKBURN,
SUKI ,CAT ,TONKINESE ,CREAM/CHOCOLATE ,F,BANNOCKBURN,
ACE ,CAT ,DOMESTIC SHORT HAIR ,BLACK/WHITE ,M,BANNOCKBURN,
BONNIE ,DOG ,POODLE ,SILVER ,F,LETHBRIDGE,
MAX ,DOG ,BORDER COLLIE ,BLACK/WHITE ,M,LETHBRIDGE,
MOLLY ,DOG ,BORDER COLLIE ,CHOCOLATE ,F,LETHBRIDGE,
PIPPA ,DOG ,KELPIE X ,BLACK AND TAN ,F,INVERLEIGH,
JUKE ,DOG ,POMERANIAN ,WHITE AND GOLD ,M,BANNOCKBURN,
MACK ,DOG ,DACHSHUND ,SILVER DAPPLE ,M,BANNOCKBURN,
TED ,DOG ,KELPIE X ,BLACK / TAN ,M,BANNOCKBURN,
SATCH ,DOG ,BLUE HEELER X ,BLUE & WHITE ,M,BANNOCKBURN,
MAXI ,DOG ,MALTESE TERRIER X ,WHITE ,M,BANNOCKBURN,
BONNIE ,DOG ,DACHSHUND ,BLACK & TAN ,F,INVERLEIGH,
LILY ,DOG ,DACHSHUND ,BLACK AND TAN ,F,INVERLEIGH,
FRITZ ,DOG ,DACHSHUND ,BROWN ,M,INVERLEIGH,
HUGHEY ,DOG ,LABRADOR ,WHITE ,M,BANNOCKBURN,
BENNY ,DOG ,LABRADOR ,BLACK ,M,BANNOCKBURN,
DIESEL ,DOG ,STAFFORDSHIRE BULL TERRIER ,BRINDLE/WHITE ,M,BANNOCKBURN,
INDI ,DOG ,DOGUE DE BORDEAUX X NEAPOLITAN,RED/BLACK MASK ,F,BANNOCKBURN,
MAGGIE JAYNE ,DOG ,STAFFORDSHIRE BULL TERRIER ,BLUE ,F,BANNOCKBURN,
MARMADUKE ,DOG ,STAGHOUND X ,TAN ,M,BANNOCKBURN,
DONNY ,DOG ,LABRADOR ,BLACK ,M,BANNOCKBURN,
PING ,DOG ,CHIHUAHUA X ,SAND ,F,BANNOCKBURN,
TOMMY ,DOG ,DOGUE DE BORDEAUX X NEAPOLITAN,TAN ,M,BANNOCKBURN,
PANDORA ,CAT ,DOMESTIC SHORT HAIR ,BLACK ,F,BANNOCKBURN,
JASPER ,DOG ,DALMATIAN ,BLACK WHITE ,M,BANNOCKBURN,
GRACE ,DOG ,WHIPPET ,GREY ,F,BANNOCKBURN,
KOOPER ,DOG ,GERMAN SHEPHERD ,BLACK/BROWN ,M,BANNOCKBURN,
JOEY ,DOG ,JACK RUSSELL TERRIER ,BROWN ,M,BATESFORD,
HOMER ,DOG ,JACK RUSSELL TERRIER ,WHITE/RED/BROWN ,M,BATESFORD,
PEPPER ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,M,BATESFORD,
FONZIE ,DOG ,KELPIE ,RED/TAN ,M,BATESFORD,
REXIE ,DOG ,JACK RUSSELL X ,BRINDLE AND WHITE ,M,BATESFORD,
CHOOKY ,CAT ,DOMESTIC SHORT HAIR ,BLACK ,M,BATESFORD,
KANE ,DOG ,GREAT DANE ,BLUE ,M,BATESFORD,
WILLOW ,DOG ,GOLDEN RETRIEVER ,GOLD ,F,BATESFORD,
SENOR ,CAT ,RAG DOLL CAT ,WHITE ,M,BANNOCKBURN,
ZAC ,DOG ,CAVOODLE ,WHITE ,M,BATESFORD,
HARRY ,DOG ,CAVOODLE ,BLACK ,M,BATESFORD,
JIMMY ,DOG ,POODLE ,WHITE ,F,BANNOCKBURN,
AYLA ,CAT ,DOMESTIC LONG HAIR ,GINGER & CREAM ,F,BANNOCKBURN,
BILLY ,DOG ,MALTESE ,WHITE ,M,BANNOCKBURN,
BELLA ,DOG ,CAVOODLE ,APRICOT ,F,BANNOCKBURN,
BELLA ,DOG ,MALTESE TERRIER X ,TRI ,F,BANNOCKBURN,
DOUGAL ,DOG ,JACK RUSSELL TERRIER ,WHITE AND TAN ,M,LETHBRIDGE,
TESS ,DOG ,KELPIE ,BLACK/TAN ,F,LETHBRIDGE,
BOB ,DOG ,KELPIE ,BLACK & TAN ,M,LETHBRIDGE,
OTIS ,DOG ,TERRIER CROSS ,WHITE/TAN ,F,LETHBRIDGE,
CHIEF ,DOG ,GERMAN SHORTHAIRED POINTER ,BROWN /WHITE ,M,LETHBRIDGE,
JAZZ ,DOG ,GERMAN SHORTHAIRED POINTER ,BROWN AND WHITE ,F,LETHBRIDGE,
CRYSTAL ,DOG ,GERMAN SHORTHAIRED POINTER ,LIVER AND WHITE ,F,LETHBRIDGE,
LIL ,DOG ,GERMAN SHORTHAIRED POINTER ,LIVER AND WHITE ,F,LETHBRIDGE,
DAISY ,DOG ,DALMATIAN ,BLACK & WHITE ,F,LETHBRIDGE,
ROSIE ,DOG ,BORDER COLLIE X KELPIE ,BLACK ,F,LETHBRIDGE,
NUGGET ,DOG ,KELPIE ,BROWN ,M,LETHBRIDGE,
JOCK ,DOG ,KELPIE ,BROWN ,M,LETHBRIDGE,
JAZZ ,DOG ,KELPIE ,BLACK/TAN ,F,BANNOCKBURN,
TASMANIA ,DOG ,KELPIE ,BLACK ,F,LETHBRIDGE,
SMUDGE ,DOG ,BULLDOG ,WHITE & BROWN ,F,LETHBRIDGE,
SALLY ,DOG ,BORDER COLLIE X ,BLACK AND WHITE ,F,LETHBRIDGE,
LUCY ,DOG ,JACK RUSSELL TERRIER ,SABLE ,F,LETHBRIDGE,
WINDSOR ,DOG ,JACK RUSSELL TERRIER ,TAN AND WHITE ,M,LETHBRIDGE,
BUDDY ,DOG ,MALT./SHIH TZU X ,WHITE AND TAN ,M,LETHBRIDGE,
TIGGER ,CAT ,CAT ,TABBY ,M,LETHBRIDGE,
EDWINA ,DOG ,CAVALIER KING CHARLES SPANIEL ,TRI ,F,LETHBRIDGE,
WHIMSEY ,DOG ,CAVALIER KING CHARLES SPANIEL ,TRI COLOUR ,F,LETHBRIDGE,
PRINCESS ,DOG ,GERMAN SHEPHERD ,BLACK AND TAN ,F,LETHBRIDGE,
SHELBY ,DOG ,STAFFORDSHIRE BULL TERRIER ,TAN ,F,LETHBRIDGE,
ACE ,DOG ,BORDER COLLIE ,BLUE MERLE ,M,BANNOCKBURN,
MACEY ,DOG ,LABRADOR X ,SANDY ,F,BANNOCKBURN,
ROSIE ,DOG ,JACK RUSSELL X ,WHITE & TAN ,F,BANNOCKBURN,
MAC ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,M,BANNOCKBURN,
YIP ,DOG ,KELPIE X ,BROWN AND TAN ,F,RUSSELLS BRIDGE,
MAX ,DOG ,JACK RUSSELL TERRIER ,TAN AND WHITE ,M,RUSSELLS BRIDGE,
DIVA ,DOG ,JACK RUSSELL TERRIER ,TAN AND WHITE ,F,RUSSELLS BRIDGE,
EMMA ,DOG ,PUG ,TAN AND SABLE ,F,BATESFORD,
OLIVER ,DOG ,KING CHARLES SPANIEL ,BROWN AND WHITE ,M,BATESFORD,
SCOUT ,DOG ,KING CHARLES SPANIEL ,RED ,M,BATESFORD,
CEEFER ,CAT ,DOMESTIC SHORT HAIR ,TABBY ,F,BATESFORD,
KESHA ,DOG ,SIBERIAN HUSKY ,BLACK AND WHITE ,F,BATESFORD,
JEFFREY ,CAT ,DOMESTIC SHORT HAIR ,BLACK/WHITE ,M,BATESFORD,
TIGER ,CAT ,CROSS BREED CAT ,UNKNOWN ,M,LETHBRIDGE,
BOOF ,DOG ,CROSS BREED DOG ,TORTOISESHELL ,M,LETHBRIDGE,
TACKIE ,CAT ,CROSS BREED CAT ,TORTOISESHELL ,M,LETHBRIDGE,
BILKO ,DOG ,BOXER ,BRINDLE/WHITE ,M,ROSS CREEK,
BELLAROSE ,DOG ,JACK RUSSELL X ,TRI COLOR ,F,ROSS CREEK,
LEO ,DOG ,LABRADOR X ,RED AND TAN ,M,SUTHERLANDS CREEK,
MATILDA ,DOG ,KELPIE ,TAN/BROWN ,F,BANNOCKBURN,
PEPPER ,DOG ,BORDER COLLIE ,CHOC ,F,BANNOCKBURN,
COOPER ,DOG ,BORDER COLLIE ,CHOCOLATE/WHITE ,M,BANNOCKBURN,
NELSON ,CAT ,DOMESTIC SHORT HAIR ,GINGER ,M,BANNOCKBURN,
MAX ,DOG ,AUSTRALIAN TERRIER X ,CARAMEL ,M,BANNOCKBURN,
BELLA ,DOG ,CHIHUAHUA X ,BLACK AND TAN ,F,BANNOCKBURN,
PUSS CAT ,CAT ,DOMESTIC SHORT HAIR ,TABBY ,F,RUSSELLS BRIDGE,
TIPPY ,DOG ,KELPIE ,RED ,F,RUSSELLS BRIDGE,
PATCHY ,DOG ,JACK RUSSELL TERRIER ,WHITE AND TAN ,F,RUSSELLS BRIDGE,
KINGSTON ,DOG ,GOLDEN RETRIEVER ,GOLDEN ,M,BATESFORD,
JET ,DOG ,RETRIEVER ,BLACK ,M,BATESFORD,
PEPI ,DOG ,PAPILLON ,TRI CLOUR ,M,BATESFORD,
ZOE ,DOG ,LABRADOR ,BLACK ,F,BATESFORD,
COCO ,DOG ,LABRADOR ,CHOCOLATE ,F,BATESFORD,
DIZZY ,DOG ,BORDER COLLIE ,BLACK/WHITE ,F,BATESFORD,
JASPER ,DOG ,LABRADOR ,GOLD ,M,BATESFORD,
MAX ,DOG ,LABRADOR ,GOLD ,M,BATESFORD,
RUBIN ,DOG ,BERNESE MOUNTAIN DOG ,TRI COLOUR ,M,BATESFORD,
BELLA ,DOG ,MALT./SHIH TZU X ,BROWN AND WHITE ,F,BATESFORD,
MOOSE ,DOG ,LABRADOR X ,BLACK ,M,BATESFORD,
SHEBA ,DOG ,BORDER COLLIE ,BLACK & WHITE ,F,BATESFORD,
PATCH ,DOG ,AUSTRALIAN CATTLE DOG ,RED/WHITE ,M,BATESFORD,
BUFFY ,DOG ,BORDER TERRIER ,TAN/BLUE ,F,BATESFORD,
PORSHA ,CAT ,DOMESTIC SHORT HAIR ,BLACK/WHITE ,F,BATESFORD,
ROSIE ,DOG ,BORDER COLLIE ,BLACK/WHITE ,F,BATESFORD,
MILLY ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,F,BATESFORD,
PENNI ,DOG ,STAFFORDSHIRE BULL TERRIER ,BROWN ,F,BATESFORD,
GEORGE ,DOG ,MALT./SHIH TZU X ,WHITE ,M,BATESFORD,
BAZ ,DOG ,BORDER COLLIE X ,BLACK & WHITE ,M,BATESFORD,
KIA ,DOG ,BORDER COLLIE X ,BLACK & TAN ,F,BATESFORD,
OBEE ,DOG ,SPANIEL ,WHITE/BROWN ,M,BATESFORD,
WHISKEY ,DOG ,BOXER ,RED ,M,BATESFORD,
PATCH ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,M,BATESFORD,
MISSY ,DOG ,CAVOODLE ,TAN/WHITE ,F,BATESFORD,
KO-KO ,DOG ,LABRADOR ,CHOCOLATE ,F,BATESFORD,
GEEGEE ,DOG ,LABRADOR ,GOLD ,F,BATESFORD,
MARLEY ,DOG ,LABRADOR ,BLACK ,F,BATESFORD,
SAM ,DOG ,LABRADOR ,GOLD ,M,BATESFORD,
BLUE ,DOG ,KELPIE ,BLUE/TAN ,M,BATESFORD,
MAGGIE ,DOG ,KELPIE ,CREAM ,F,BATESFORD,
SKYE ,DOG ,COLLIE (ROUGH) ,SABLE/WHITE ,F,BATESFORD,
EBONY ,DOG ,SCHNOODLE ,BLACK ,F,BATESFORD,
DAMIEN ,CAT ,DOMESTIC SHORT HAIR ,BLACK ,M,BATESFORD,
ROSE ,DOG ,BORDER COLLIE ,BLACK/WHITE ,F,BATESFORD,
WILLOW ,DOG ,BORDER COLLIE ,BLACK/WHITE ,M,BATESFORD,
FURBY FACE ,CAT ,DOMESTIC SHORT HAIR ,"WHITE,BROWN , ORANGE ",F,BATESFORD,
MISTY ,DOG ,KELPIE ,RED ,F,BANNOCKBURN,
SPOTTY ,DOG ,BORDER COLLIE X ,BLACK AND WHITE ,M,BANNOCKBURN,
MEX ,DOG ,JACK RUSSELL TERRIER ,WHITE AND TAN ,F,BANNOCKBURN,
YOGI ,DOG ,KELPIE X ,BLACK AND GREY ,M,BANNOCKBURN,
BROWNIE ,DOG ,KELPIE ,BLACK/TAN ,F,LETHBRIDGE,
WAGGS ,DOG ,RHODESIAN RIDGEBACK ,TAN/BLACK ,M,LETHBRIDGE,
JASPER ,DOG ,POODLE ,WHITE & APRICOT ,M,LETHBRIDGE,
PIPER ,DOG ,BORDER COLLIE ,RED & WHITE ,F,LETHBRIDGE,
MAXI ,DOG ,BOXER ,FAWN AND WHITE ,F,LETHBRIDGE,
REDMAN ,DOG ,BOXER ,FAWN AND WHITE ,M,LETHBRIDGE,
FELIX ,CAT ,CAT ,WHITE ,M,LETHBRIDGE,
MAGGIE ,DOG ,MALT./SHIH TZU X ,BLACK/WHITE ,F,LETHBRIDGE,
JESSIE ,DOG ,MALT./SHIH TZU X ,WHITE/FAWN ,F,LETHBRIDGE,
JET ,CAT ,CAT ,BLACK ,M,LETHBRIDGE,
SMITHY ,DOG ,SHITZHU X ,BLACK/WHITE ,M,LETHBRIDGE,
BENSON ,DOG ,GOLDEN RETRIEVER ,GOLD ,M,LETHBRIDGE,
LILY ,DOG ,JACK RUSSELL TERRIER ,BLACK AND WHITE ,F,LETHBRIDGE,
ALBIE ,DOG ,JACK RUSSELL TERRIER ,APRICOT ,M,LETHBRIDGE,
SMETANA ,CAT ,RUSSIAN ,BLACK ,F,LETHBRIDGE,
SMIRNOFF ,CAT ,RUSSIAN ,BLACK ,M,LETHBRIDGE,
WHISKAS ,CAT ,DOMESTIC SHORT HAIR ,BLACK/WHITE ,F,LETHBRIDGE,
LUCY ,CAT ,DOMESTIC SHORT HAIR ,GREY ,F,LETHBRIDGE,
RUBY ,DOG ,FOX TERRIER X ,BROWN ,F,LETHBRIDGE,
POPPY ,DOG ,DALMATIAN ,BLACK/WHITE ,F,LETHBRIDGE,
MONTY ,CAT ,DOMESTIC SHORT HAIR ,TABBY/WHITE ,M,LETHBRIDGE,
SOOTY ,CAT ,DOMESTIC SHORT HAIR ,BLACK & WHITE ,F,LETHBRIDGE,
BESS ,DOG ,BORDER COLLIE X ,TAN & WHITE CHEST ,F,LETHBRIDGE,
BP ,CAT ,DOMESTIC SHORT HAIR ,GREY & WHITE ,M,LETHBRIDGE,
BEAR ,DOG ,GERMAN SHEPHERD ,TAN/BLACK ,M,LETHBRIDGE,
LIZZIE ,DOG ,KELPIE ,BROWN & TAN ,F,LETHBRIDGE,
JACK ,DOG ,STAFFORDSHIRE BULL TERRIER ,BRINDLE ,M,LETHBRIDGE,
HARRY ,DOG ,BULLDOG ,BRINDLE ,M,LETHBRIDGE,
TOMMY ,CAT ,BURMESE ,BLUE ,M,LETHBRIDGE,
BELLA ,DOG ,BORDER COLLIE ,TAN ,F,BATESFORD,
TIMMY ,DOG ,BRITTANY SPANIEL ,LIVER AND WHITE ,M,GHERINGHAP,
BINDI ,DOG ,FOX TERRIER X ,TRI COLOUR ,F,GHERINGHAP,
RIPPER ,DOG ,JACK RUSSELL TERRIER ,TRICOLOUR ,M,GHERINGHAP,
NISHA ,DOG ,KELPIE ,RED ,F,BANNOCKBURN,
GYPSY ,DOG ,JACK RUSSELL X ,WHITE ,F,BANNOCKBURN,
TIGER ,CAT ,DOMESTIC SHORT HAIR ,GINGER ,M,BANNOCKBURN,
SNAPPING TURTLE ,DOG ,KELPIE X ,BLACK/WHITE ,M,BANNOCKBURN,
TROY MCCLURE ,CAT ,DOMESTIC LONG HAIR ,GREY ,M,BANNOCKBURN,
DEVEREAUX ,DOG ,LABRADOR ,CHOCOLATE ,M,LETHBRIDGE,
MAX ,DOG ,KELPIE ,BROWN/BLACK ,M,LETHBRIDGE,
RUBY ,DOG ,WHIPPET ,BRINDLE ,F,LETHBRIDGE,
BUCK ,DOG ,BULL ARAB ,TAN ,M,LETHBRIDGE,
BRUISER ,DOG ,BULL ARAB ,TAN ,M,LETHBRIDGE,
BASIL ,DOG ,GERMAN SHEPHERD X ,BROWN/BLACK ,M,LETHBRIDGE,
SCOOTER ,DOG ,LABRADOR X ,TRI COLOUR ,M,LETHBRIDGE,
RASTAS ,CAT ,DOMESTIC SHORT HAIR ,BLACK ,M,LETHBRIDGE,
BINDI ,CAT ,TONKINESE ,TABBY WHITE ,F,LETHBRIDGE,
TIGER ,CAT ,DOMESTIC SHORT HAIR ,GINGER ,M,LETHBRIDGE,
DOZER ,DOG ,RHODESIAN RIDGEBACK ,TAN ,M,LETHBRIDGE,
BAILEY ,DOG ,BULL ARAB ,BRINDLE ,M,LETHBRIDGE,
COCOA ,DOG ,KELPIE ,BLACK ,F,LETHBRIDGE,
RUBY ,DOG ,FOX TERRIER X ,BROWN AND WHITE ,F,LETHBRIDGE,
ROO ,DOG ,JACK RUSSELL TERRIER ,WHITE & TAN ,M,LETHBRIDGE,
MINNIE ,DOG ,KELPIE ,BLACK/WHITE ,F,LETHBRIDGE,
KAYTE ,DOG ,BORDER COLLIE ,BLACK/WHITE ,F,SUTHERLANDS CREEK,
JESS ,DOG ,BORDER COLLIE ,BLACK/WHITE ,F,SUTHERLANDS CREEK,
ROBBIE ,DOG ,BORDER COLLIE ,BLACK/WHITE/TAN ,M,SUTHERLANDS CREEK,
TECA ,DOG ,HUNGARIAN VIZLA ,RUSSET GOLD ,F,LETHBRIDGE,
ABBEY ,DOG ,HUNGARIAN VIZLA ,RUSSET GOLD ,F,LETHBRIDGE,
RUBI ,DOG ,HUNGARIAN VIZLA ,RUSSET GOLD ,F,LETHBRIDGE,
DOUGALL ,DOG ,BORDER COLLIE ,BLACK/WHITE ,M,LETHBRIDGE,
SHONA ,DOG ,BORDER COLLIE ,BLACK/WHITE ,F,LETHBRIDGE,
BAILEY ,CAT ,DOMESTIC SHORT HAIR ,GREY/WHITE ,M,LETHBRIDGE,
BONNIE ,DOG ,SCOTCH COLLIE ,TRI ,F,LETHBRIDGE,
LASS ,DOG ,SCOTCH COLLIE ,SABLE & WHITE ,F,LETHBRIDGE,
MARCO ,CAT ,BIRMAN ,CHOC ,M,LETHBRIDGE,
ZELDA ,DOG ,JACK RUSSELL TERRIER ,BLACK/WHITE ,F,LETHBRIDGE,
MINDY ,DOG ,BORDER COLLIE ,BLACK & WHITE ,F,LETHBRIDGE,
WALLY ,DOG ,SMITHFIELD ,BLACK & TAN ,M,LETHBRIDGE,
TREVOR ,DOG ,MALTESE TERRIER X ,WHITE ,M,LETHBRIDGE,
CARL ,CAT ,BURMESE ,GREY ,M,LETHBRIDGE,
WINSTON ,DOG ,JACK RUSSELL TERRIER ,TRI COLOUR ,M,SUTHERLANDS CREEK,
OSCAR ,DOG ,JACK RUSSELL TERRIER ,TAN/WHITE ,M,SUTHERLANDS CREEK,
RUSSELL ,DOG ,WHIPPET ,BROWN & WHITE ,M,SUTHERLANDS CREEK,
CLANCY ,DOG ,BLUE HEELER ,BLUE ,M,SUTHERLANDS CREEK,
BANJO ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,M,RUSSELLS BRIDGE,
TEMPERANCE ,DOG ,BORDER COLLIE ,BLACK & WHITE ,F,RUSSELLS BRIDGE,
JASPER ,DOG ,KELPIE X ,BROWN/RED ,M,RUSSELLS BRIDGE,
SMOKEY ,CAT ,DOMESTIC SHORT HAIR ,GREY AND WHITE ,M,RUSSELLS BRIDGE,
RUBY ,DOG ,KELPIE ,RED/ TAN ,F,LETHBRIDGE,
NUGGET ,DOG ,KELPIE ,RED AND TAN ,M,LETHBRIDGE,
ZOE ,DOG ,KELPIE ,BLACK/TAN ,F,LETHBRIDGE,
WESLEY ,DOG ,JACK RUSSELL TERRIER ,TRI-COLOR ,M,LETHBRIDGE,
BELLE ,DOG ,LABRADOR ,GOLDEN ,F,SUTHERLANDS CREEK,
GEORGE ,CAT ,DOMESTIC SHORT HAIR ,WHITE/GREY TABBY ,M,SUTHERLANDS CREEK,
ARBI ,DOG ,LABRADOR X ,BLACK AND WHITE ,M,LETHBRIDGE,
BALOU ,DOG ,HUNTERWAY ,BLACK/TAN ,M,LETHBRIDGE,
JASPER ,DOG ,DALMATIAN ,BLACK& WHITE ,M,LETHBRIDGE,
SAMMY ,DOG ,KELPIE X ,CHOCOLATE & WHITE ,M,LETHBRIDGE,
LACEY ,CAT ,DOMESTIC SHORT HAIR ,GINGER ,F,LETHBRIDGE,
BELLA ,DOG ,BORDER COLLIE ,RED/WHITE ,F,LETHBRIDGE,
ANNIE ,CAT ,DOMESTIC SHORT HAIR ,TABBY AND WHITE ,F,LETHBRIDGE,
ROCO ,DOG ,POINTER X ,BLACK & WHITE ,M,LETHBRIDGE,
TABBY ,CAT ,DOMESTIC SHORT HAIR ,TABBY ,M,LETHBRIDGE,
MAGGIE ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,F,LETHBRIDGE,
PENNY ,DOG ,BORDER COLLIE ,TRI COLOUR ,F,LETHBRIDGE,
BOSCO ,DOG ,CORGI ,TRI COLOUR ,M,LETHBRIDGE,
PADDY ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,M,LETHBRIDGE,
MAX ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,M,LETHBRIDGE,
ABBY ,DOG ,CURLY COATED RETRIEVER ,LIVER ,F,BANNOCKBURN,
NALA ,DOG ,KELPIE ,BLACK AND TAN ,F,BANNOCKBURN,
HARRY ,DOG ,BEAGLE ,TRI ,M,BANNOCKBURN,
BERNADETTE ,DOG ,BEAGLE ,TRI ,F,BANNOCKBURN,
SPIKE ,DOG ,KELPIE ,BLACK/WHITE ,M,BANNOCKBURN,
AMBER ,DOG ,BORDER COLLIE ,BLACK/WHITE ,F,BANNOCKBURN,
JACK ,DOG ,KELPIE ,RED ,M,LETHBRIDGE,
ROCKY ,DOG ,KELPIE X ,BLACK AND TAN ,M,TEESDALE,
MOLLIE ,CAT ,CROSS BREED CAT ,BROWN ,F,LETHBRIDGE,
MISTY ,DOG ,FOX TERRIER ,WHITE ,F,LETHBRIDGE,
PATCHES ,CAT ,CROSS BREED CAT ,TABBY ,F,LETHBRIDGE,
KUZYA ,DOG ,PEKINGESE ,BROWN ,M,LETHBRIDGE,
ROCK ,DOG ,ROTTWEILER ,BLACK AND TAN ,M,LETHBRIDGE,
HARRY ,DOG ,AUSTRALIAN TERRIER ,RED ,M,LETHBRIDGE,
KELLY ,DOG ,KELPIE ,BROWN ,F,LETHBRIDGE,
ASIA ,DOG ,JACK RUSSELL TERRIER ,WHITE/TAN/BROWN ,F,LETHBRIDGE,
RUBIE ,DOG ,KELPIE X ,BLACK/TAN ,F,LETHBRIDGE,
ZACK ,DOG ,MAREMMA ,BLACK/BROWN EYE ,M,LETHBRIDGE,
BELLA ,DOG ,MAREMMA ,WHITE ,F,LETHBRIDGE,
HOLLY ,DOG ,LABRADOR ,CHOCOLATE ,F,LETHBRIDGE,
CASSIE ,DOG ,LABRADOR ,YELLOW ,F,LETHBRIDGE,
CANDY ,CAT ,DOMESTIC SHORT HAIR ,GINGER/WHITE ,F,LETHBRIDGE,
HEIDI ,DOG ,AIREDALE TERRIER ,BROWN/BLACK ,F,LETHBRIDGE,
GRIFFIN ,DOG ,BORDER TERRIER ,TAN ,M,LETHBRIDGE,
BEAR ,DOG ,SHITZHU X ,COFFEE ,M,LETHBRIDGE,
OSCAR ,CAT ,CAT ,GINGER ,F,LETHBRIDGE,
