name,animaltype,breed,colour,sex,suburb,AgeYears,blank
Niko,D         ,MALTESEX  ,WhiteBrown,M,BUDERIM,19,
Kelly,D         ,DACHSHDLH ,BrownBlack,F,BUDERIM,18,
Shazra,D         ,SHIHTZUX  ,Ginger    ,F,BUDERIM,18,
Isobel,Cat       ,PERSIAN X ,Blue      ,M,DOONAN,18,
Elmo,D         ,DACHSHLHM ,BlackTan  ,M,BUDERIM,18,
Bella,D         ,CATTLEDOGX,Blue      ,F,EUMUNDI,18,
Boxer,D         ,CHIHUAHMN ,TriColour ,M,,17,
Whiskey,D         ,TERRIERWTX,White     ,F,WOOMBYE,17,
Coco,D         ,SHIHTZU   ,Sable     ,F,COOLUM BEACH,17,
Chloe,D         ,RETRIEVGD ,Gold      ,F,BLI BLI,17,
Tasha,D         ,SCHNAUZER ,SaltPepper,F,TWIN WATERS,17,
Oscar,D         ,LHASAAPSO ,Black     ,M,BUDERIM,17,
Muffy,D         ,MALTESEX  ,TriColour ,M,BUDERIM,17,
Dusty,D         ,PUGX      ,Tan       ,F,COOLUM BEACH,17,
Sparky,D         ,POODLEX   ,White     ,M,SIPPY DOWNS,17,
Zoe,D         ,CORGICARD ,BlackBrind,F,BUDERIM,16,
Stumpy,D         ,CATDOGSTPX,WhiteBlack,M,ALEXANDRA HEADLAND,19,
Ruby,D         ,STAFFRDBT ,Brindle   ,F,GOLDEN BEACH,16,
Molly,D         ,MALTESE   ,White     ,F,BUDERIM,18,
Lily,D         ,MALTESE   ,White     ,F,SIPPY DOWNS,17,
Molly,D         ,BICHONFRSX,Apricot   ,F,MAROOCHYDORE,16,
Digger,D         ,JACKRUSSL ,WhiteBlack,M,COES CREEK,16,
Libby,D         ,POODLEX   ,Cream     ,F,MOOLOOLABA,16,
Bella,D         ,COLLBORDRX,Black     ,F,KULUIN,16,
Ollie,D         ,POODLEX   ,Sandy     ,M,HUNCHY,16,
Gypsy,D         ,STAFFRDBTX,BrownWhite,F,BLI BLI,16,
Bodhi,D         ,LHASAAPSO ,White     ,F,KIELS MOUNTAIN,17,
Zep,D         ,STAFFRDBTX,Honey     ,M,BUDERIM,15,
Lizzy,D         ,LABRADOODL,Cream     ,F,BUDERIM,16,
Baxter,D         ,STAFFRDBT ,Black     ,M,MAROOCHYDORE,17,
Ned,D         ,RETRIEVGD ,Gold      ,M,WURTULLA,15,
Onyx,D         ,COLLBORDR ,Black     ,M,MONS,16,
Ryder,D         ,STAFFRDBT ,Black     ,F,BUDERIM,15,
Bonnie,D         ,BICHONFRSX,Black     ,F,BUDERIM,15,
Sid,D         ,TERRIERTN ,TriColour ,M,BUDERIM,16,
Callie,D         ,CATTLEDOGX,TanWhite  ,F,ROSEMOUNT,15,
Founja,D         ,TERRIERAUX,Black     ,M,MUDJIMBA,15,
Race,D         ,SHIHTZUX  ,White     ,M,BUDERIM,15,
Chilli,D         ,LABRADOR  ,Yellow    ,F,MAROOCHYDORE,16,
Maxy,D         ,CATTLEDOG ,Black     ,M,ALEXANDRA HEADLAND,15,
Dave,D         ,KELPIEAUSX,BrownGrey ,M,COOLUM BEACH,15,
Scooby,D         ,FOXTERRIE ,Brown     ,M,BURNSIDE,15,
Maximus,D         ,FOXTERRMNX,BlackTan  ,M,MAROOCHYDORE,15,
Mandie,D         ,POODLE    ,Chocolate ,F,BUDERIM,20,
Foncy,D         ,JACKRUSSL ,BlackWhite,F,BLI BLI,16,
Cottie,D         ,BICHONFRSX,Beige     ,F,WOOMBYE,15,
Roxy,D         ,LHASAAPSO ,GreyWhite ,F,MOUNTAIN CREEK,16,
Oscar,D         ,MALTESEX  ,TanWhite  ,M,BUDERIM,15,
