name,animaltype,breed,colour,sex,suburb,AgeYears,blank
Tank,D         ,STAFFRDBT ,BrownWhite,M,BEERWAH,7,
Ted,D         ,GROODLE   ,Tan       ,M,PEREGIAN SPRINGS,8,
Odin,D         ,PINSCHRMN ,Gold      ,M,MAROOCHYDORE,9,
Chilli,D         ,FOXTERRMNX,Tan       ,F,MOUNT COOLUM,7,
Marley,D         ,MASTIFNEP ,Champagne ,F,CALOUNDRA WEST,8,
Rocky,D         ,BICHONFRSX,White     ,M,MOUNTAIN CREEK,7,
Kingsley,D         ,BULLDOGBR ,BlueBrind ,M,BUDERIM,7,
Hunny,D         ,LHASAAPSO ,White     ,F,PALMVIEW,7,
Murphy,D         ,SCHNAUZMN ,SaltPepper,M,MOUNT COOLUM,11,
Jasper,D         ,LABRADOR  ,Chocolate ,M,PALMVIEW,13,
Louie,D         ,SHIHTZUX  ,WhiteBrown,M,MERIDAN PLAINS,7,
Dexter,D         ,TERRIERSIX,White     ,M,WARANA,10,
Gordon,D         ,SCHNAUZMN ,BlackGrey ,M,PALMWOODS,9,
Bruno,Cat       ,RUSSIANBL ,Blue      ,M,SIPPY DOWNS,12,
Nina,D         ,LABRADOR  ,Chocolate ,F,LITTLE MOUNTAIN,7,
Aya,D         ,AUST. SHEP,BlackTanWh,F,BEERWAH,8,
Rocket,D         ,BOXER     ,RedWhite  ,M,MAROOCHYDORE,7,
Cooli,D         ,FOXTERRMN ,TriColour ,M,MOOLOOLAH VALLEY,9,
Jakers,Cat       ,RAGDOLL   ,BlackWhite,M,MOUNT COOLUM,8,
Beauty Agnes,D         ,LABRADOR  ,Black     ,F,MAROOCHYDORE,13,
Dakota,D         ,LABRADOR  ,TanWhite  ,F,BUDERIM,7,
Maple,D         ,CATTLEDOGX,RedMerle  ,F,LITTLE MOUNTAIN,7,
Houston,D         ,MASTIFNEP ,Cream     ,F,BEERBURRUM,8,
Frankie,D         ,SCHNAUZMN ,SilverBlac,M,BUDERIM,8,
Max,D         ,CAVOODLE  ,Apricot   ,M,MOUNTAIN CREEK,7,
Louis,Cat       ,DOMSH     ,Tabby     ,M,PEREGIAN SPRINGS,7,
Roxy,D         ,LABRADORX ,Fawn      ,F,BEERWAH,7,
Julia,D         ,GREYHOUND ,Black     ,F,PEACHESTER,13,
Donna,Cat       ,DOMSH     ,Silver    ,F,NAMBOUR,7,
Lola,D         ,FOXTERRIEX,Brown     ,F,BUDERIM,7,
India Rose,D         ,HUSKY     ,SmokeyGrey,F,NAMBOUR,10,
Sky,D         ,LHASAAPSOX,WhiteBlack,F,COOLUM BEACH,7,
Maximus,D         ,CATTLEDOG ,BlackWhite,M,GLASS HOUSE MOUNTAINS,7,
Belle,Cat       ,DOMSH     ,Multicol  ,F,NINDERRY,7,
Macy,D         ,GREATDANE ,White     ,F,MOFFAT BEACH,7,
Wombat,D         ,BULLTERRX ,WhiteTan  ,F,MOUNTAIN CREEK,12,
Ollie,D         ,PUG       ,Fawn      ,M,PALMVIEW,7,
Macy,D         ,PUG       ,Fawn      ,F,TWIN WATERS,7,
paki,D         ,KELPIEAUSX,BlackBrown,M,GLENVIEW,8,
Ollie Froud,D         ,TERRIERSIX,Brown     ,M,EERWAH VALE,17,
Mickey,D         ,CHIHUAHLH ,TriColour ,M,PELICAN WATERS,7,
Shakira,Cat       ,RAGDOLL   ,Blue      ,F,BLI BLI,7,
Grace,D         ,COLLBORDRX,BlackTanWh,F,SIPPY DOWNS,7,
Ezra,Cat       ,DOMSH     ,WhiteBlack,M,POINT ARKWRIGHT,11,
Barney,Cat       ,DOMSH     ,Ginger    ,M,GOLDEN BEACH,11,
Bella,D         ,MALTESEX  ,White     ,F,WOOMBYE,9,
Jack Fern Daniels,D         ,COLLBORDR ,BlackWhite,M,ROSEMOUNT,8,
Gumby Brien,Cat       ,DOMMH     ,Blue      ,M,IMAGE FLAT,11,
Mindi,D         ,LABRADOR  ,Black     ,F,YANDINA,9,
Ernie,D         ,BULLTERRX ,White     ,M,BLI BLI,7,
Rubble,D         ,KELPIEAUSX,BlackWhite,M,,7,
Blaze,D         ,SPANIELCK ,BlueRoan  ,M,PELICAN WATERS,7,
Cosmo,D         ,SCHNAUZMN ,Silver    ,M,PARREARRA,7,
Rosie,D         ,CAVOODLE  ,Blenheim  ,F,CALOUNDRA,7,
Oakley,D         ,SHIHTZUX  ,BeigeWhite,M,KULUIN,7,
Otis,Cat       ,DOMSH     ,BlackWhite,M,BUDERIM,9,
Aura,D         ,STAFFRDBTX,Brindle   ,F,WOOMBYE,7,
Ruby,D         ,LABRADORX ,BlackWhite,F,BURNSIDE,8,
Trixie,D         ,JACKRUSSL ,WhiteTan  ,F,DOONAN,7,
coco,D         ,JACKRUSSL ,WhiteBrown,F,BLI BLI,7,
Lara,D         ,GERMNSHEPX,BrownBlack,F,CURRIMUNDI,7,
Charlie,D         ,SPANIELCKX,Gold      ,M,BARINGA,11,
Mittens,Cat       ,RAGDOLL   ,WhiteBrown,M,PEACHESTER,9,
Demi,D         ,POODLETOY ,Champagne ,F,BUDERIM,11,
Jet,D         ,POODLE    ,Black     ,M,WARANA,8,
Benji,D         ,KELPIEAUSX,White     ,M,SIPPY DOWNS,8,
Tia Dalma,D         ,STAFFRDBT ,Black     ,F,GLASS HOUSE MOUNTAINS,11,
Lucky,D         ,LABRADOR  ,Yellow    ,M,MONS,7,
Lika,D         ,STAFFRDAMX,Red       ,F,YAROOMBA,10,
Mattie,D         ,GREYHOUNDX,Brindle   ,F,COOLUM BEACH,7,
Link,D         ,LABRADORX ,TanWhite  ,M,BEERWAH,8,
Louie,D         ,MALTESEX  ,WhiteBrown,M,PALMWOODS,8,
Rocco,D         ,BICHONFRS ,White     ,M,PARREARRA,8,
Piper,D         ,LABRADORX ,Brown     ,F,KULANGOOR,7,
Benji,D         ,RETRIEVGDX,Gold      ,M,MAROOCHYDORE,7,
Rudd,D         ,TERRIERX  ,Black     ,M,WOOMBYE,10,
Shadow,D         ,KELPIEAUS ,BlueGrey  ,F,WURTULLA,13,
Crash,D         ,STAFFRDAM ,Brindle   ,M,NORTH ARM,7,
Ruby,D         ,GRIFFONBR ,Tan       ,F,BIRTINYA,12,
Darcy,D         ,LABRADOR  ,Gold      ,M,GLASS HOUSE MOUNTAINS,7,
Bootsy,Cat       ,DOMSH     ,Black     ,M,AROONA,13,
Hudson,D         ,MALAMUTEA ,GreyWhite ,M,CURRIMUNDI,10,
Barbie,Cat       ,DOMSH     ,BlackWhite,F,BUDERIM,9,
Eddie,D         ,RETRIEVGD ,Gold      ,M,DOONAN,8,
Mac,D         ,ROTTWEILR ,BlackTan  ,M,MUDJIMBA,7,
Cujo,D         ,RETRIEVERX,BlackTan  ,M,MOOLOOLAH VALLEY,8,
Rocky,D         ,MALTESEX  ,White     ,M,DIDDILLIBAH,7,
Lulu,D         ,GERMNSHEPX,Black     ,F,DOONAN,12,
Bear,D         ,MALTESEX  ,White     ,M,BLI BLI,13,
Arthur,D         ,WEIMARANR ,Silver    ,M,BUDERIM,7,
Archie,D         ,LABRADOR  ,Black     ,M,MAROOCHYDORE,7,
Jaffa,Cat       ,DOMSH     ,Ginger    ,M,CURRIMUNDI,8,
Mia,Cat       ,DOMSH     ,White     ,F,BUDERIM,13,
Minty,D         ,STAFFRDBTX,BrindlWhit,F,NAMBOUR,7,
CJ,Cat       ,DOMMH     ,BlackWhite,F,MAROOCHYDORE,11,
Milli Johnston,D         ,SCHNAUZMN ,Black     ,F,BLI BLI,10,
Macca,D         ,AUST. SHEP,Black     ,M,MOOLOOLAH VALLEY,7,
Maya,D         ,GERMNSHEP ,Sable     ,F,HUNCHY,7,
Zen,D         ,MALTESEX  ,White     ,M,TWIN WATERS,9,
Luca,Cat       ,DOMSH     ,BlackWhite,M,MOUNTAIN CREEK,9,
Leo,D         ,DALMATIAN ,BlackWhite,M,BOKARINA,7,
Indie,D         ,SPANIELCV ,Ruby      ,F,ALEXANDRA HEADLAND,9,
Link,D         ,BULLARAB  ,TanWhite  ,M,YANDINA,8,
Daisy,Cat       ,DOMSH     ,Tortoise  ,F,DOONAN,13,
Kiara,D         ,COLLBORDRX,GreyBlack ,F,MOOLOOLABA,7,
Penny,Cat       ,DOMSH     ,Tortoise  ,F,PALMVIEW,7,
Lizzie,D         ,CAVOODLE  ,Blenheim  ,F,BIRTINYA,13,
Charlie,D         ,CORGICARD ,BlackWhite,F,BUDERIM,7,
Rogue,D         ,FOXTERRIEX,Tan       ,F,BIRTINYA,7,
Luke,D         ,STAFFRDBTX,Black     ,M,PALMWOODS,7,
Banjo,D         ,STAFFRDBT ,Black     ,M,KUREELPA,7,
Squirt,D         ,POODLETOYX,Black     ,F,COOLUM BEACH,7,
Laika,D         ,STAFFRDBTX,BrindlWhit,F,PEREGIAN SPRINGS,8,
Ruby,D         ,BULLMASTF ,Red       ,F,CURRIMUNDI,7,
Eddie,D         ,COLLBORDR ,BrownWhite,M,MOOLOOLABA,7,
Bobby,D         ,COLLBORDR ,BlackWhite,M,DOONAN,7,
Banjo,D         ,HAVANESE  ,BlackWhite,M,PELICAN WATERS,9,
Cleo,Cat       ,DOMSH     ,Tabby     ,F,MOUNTAIN CREEK,8,
Boo,D         ,SHIHTZU   ,Beige     ,F,LANDSBOROUGH,11,
Leyla,D         ,SPANIELCV ,Blenheim  ,F,SIPPY DOWNS,7,
Jessi,D         ,JACKRUSSL ,TriColour ,F,BUDDINA,7,
Ruckus,Cat       ,TONKINESE ,Lilac     ,M,SIPPY DOWNS,11,
Truffle,Cat       ,DOMSH     ,Cream     ,M,EUDLO,6,
Poppy,D         ,HUSKYX    ,CaramelWht,F,NAMBOUR,7,
Shiloh Bear,D         ,SPITZJAP  ,White     ,F,GOLDEN BEACH,10,
Gerry,D         ,SPANIELSP ,BlackWhite,F,PELICAN WATERS,6,
Reg,D         ,BOXERX    ,Tan       ,M,PEACHESTER,7,
Marley,D         ,KELPIEAUSX,BlackBrown,M,MOOLOOLABA,13,
Freyja,Cat       ,RAGDOLL   ,Lilac     ,F,SIPPY DOWNS,7,
Aria,Cat       ,DOMSH     ,BlackWhite,F,PARREARRA,8,
Moppet,D         ,SCHNAUZERX,Black     ,F,BOKARINA,7,
Zara,D         ,CHIHUAHUA ,BlackWhite,F,AROONA,12,
Asher,Cat       ,DOMSH     ,GreyWhite ,M,NAMBOUR,7,
Leila,D         ,LABRADOR  ,BlackWhite,F,TANAWHA,7,
Ami,D         ,STAFFRDBT ,Black     ,F,YANDINA,7,
Sassy,Cat       ,DOMSH     ,Grey      ,F,AROONA,6,
Sweep,D         ,TERRIERWT ,White     ,M,WOOMBYE,9,
Lady Penelope,D         ,SCHNAUZMN ,White     ,F,MAROOCHYDORE,10,
Daisy,D         ,POMERANIA ,White     ,F,GLASS HOUSE MOUNTAINS,11,
Minky,Cat       ,RAGDOLL   ,SealPoint ,M,YANDINA,7,
Loki,Cat       ,RAGDOLL   ,Black     ,M,CURRIMUNDI,7,
Archie,D         ,MASTIFF   ,Brown     ,M,BLI BLI,7,
Teddy,D         ,SPANIELTBX,Red       ,M,DIDDILLIBAH,7,
BOOTS,D         ,KELPIEAUSX,TriColour ,M,BOKARINA,7,
Chewy,D         ,LABRADOR  ,Black     ,F,WOOMBYE,11,
Cleo,Cat       ,RAGDOLL   ,WhiteGrey ,F,GLASS HOUSE MOUNTAINS,8,
Apple,D         ,STAFFRDAM ,White     ,F,YANDINA,15,
Poppy,D         ,BEAGLE    ,TriColour ,F,ROSEMOUNT,7,
Ginger,D         ,DACHSHUNDM,Red       ,F,BEERWAH,6,
Tess,D         ,STAFFRDBT ,Tan       ,F,LITTLE MOUNTAIN,8,
Bon Bon,Cat       ,DOMSH     ,GreyWhite ,F,MINYAMA,15,
Sascha,D         ,SCHNAUZMN ,Black     ,F,MERIDAN PLAINS,6,
Evie,Cat       ,DOMSH     ,GreyTan   ,F,AROONA,7,
Soota,D         ,BULLDOGAMX,WhiteBrind,M,WITTA,9,
Zoe,Cat       ,RAGDOLL   ,White     ,F,BUDDINA,7,
Murphy,D         ,CATTLEDOG ,BlueBlack ,M,COOLUM BEACH,8,
Jeda,D         ,HEELER    ,BlueGrey  ,F,MAROOCHYDORE,7,
Bentley,D         ,KELPIEAUSX,Black     ,M,PELICAN WATERS,7,
Blue,D         ,KELPIEAUS ,BlueMerle ,M,GLASS HOUSE MOUNTAINS,9,
Arlo,D         ,TERRIERAU ,White     ,M,YAROOMBA,7,
Buster,D         ,CATDGSMTH ,Blue      ,M,BRIDGES,8,
Tansey,D         ,COLLBORDR ,BlackWhite,F,YANDINA,6,
Molly,D         ,COLLBORDR ,Chocolate ,F,NORTH ARM,7,
Spike,D         ,JACKRUSSL ,TanWhite  ,M,MAROOCHYDORE,8,
Bobby Joe,D         ,MALTESEX  ,Black     ,M,CALOUNDRA WEST,7,
Rosie,D         ,RETRIEVGD ,Gold      ,F,BUDERIM,7,
Freyja,Cat       ,DOMSH     ,Grey      ,F,MAROOCHYDORE,7,
Bentley,D         ,CAVOODLE  ,Black     ,M,BUDERIM,7,
Baxter,Cat       ,BRITSHCAT ,Blue      ,M,DOONAN,7,
BELL,D         ,COLLBORDR ,Black     ,F,SIPPY DOWNS,11,
Winxy,D         ,HUSKY     ,BlackWhite,F,PALMWOODS,7,
Holly,D         ,BICHONFRS ,White     ,F,PEREGIAN SPRINGS,19,
Ripper,D         ,STAFFRDAMX,Tan       ,M,LANDSBOROUGH,10,
Tully,D         ,MASTIFNEPX,BrownBrin ,F,LANDSBOROUGH,7,
Bolt,D         ,KELPIEAUS ,BlackBroWh,M,BUDERIM,7,
Willow,D         ,LABRADOR  ,WhiteCream,F,YAROOMBA,13,
Yogi,D         ,SPANIELCVX,Red       ,M,PALMWOODS,7,
Saber,D         ,STAFFRDAM ,TanWhite  ,M,PALMVIEW,12,
Ruffie,D         ,CATDOGSTP ,TriColour ,M,BEERBURRUM,7,
Aries,D         ,MASTIFNEPX,Brindle   ,F,OBI OBI,7,
Bailey,D         ,SPANIELKC ,BlackBroWh,M,LANDERS SHOOT,7,
Brown Sugar,D         ,LABRADOR  ,Chocolate ,F,BUDERIM,7,
Layla,D         ,BULLARABX ,Brindle   ,F,CURRIMUNDI,7,
Harvey,D         ,MALTESEX  ,GreyWhite ,M,COOLUM BEACH,10,
Jack,D         ,RETRIEVGD ,Gold      ,M,NINDERRY,9,
Jelly,D         ,CHIHUAHUA ,WhiteBlack,F,BUDERIM,9,
Elvis,D         ,WOLFHOUNDX,Black     ,M,WURTULLA,7,
Flouncy,D         ,JACKRUSSLX,WhiteBrown,F,GOLDEN BEACH,16,
Peanut,D         ,BULLDOGAUS,WhiteFawn ,F,AROONA,6,
Fern,D         ,STAFFRDBT ,BlueTan   ,F,BEERWAH,7,
Chloe,D         ,GERMNSHEP ,BlackBrown,F,CALOUNDRA WEST,9,
Tivi,D         ,BULLTERR  ,BlackWhite,F,LANDSBOROUGH,9,
Gracie,D         ,FOXTERRMN ,White     ,F,MOUNTAIN CREEK,6,
Ollie,D         ,MALTESEX  ,WhiteGrey ,M,PALMWOODS,13,
Jackson,Cat       ,DOMSH     ,Tabby     ,M,PARREARRA,7,
Ollie,D         ,MIXED     ,Fawn      ,M,GHEERULLA,13,
Kyla,D         ,COLLBORDR ,BlackWhite,F,WURTULLA,6,
Xena,Cat       ,DOMSH     ,Tabby     ,F,FLAXTON,6,
Stevie,D         ,BULLMASTF ,Tan       ,F,MONS,7,
Tiger,Cat       ,DOMSH     ,Tabby     ,M,BUDERIM,8,
Ace,D         ,CAVOODLE  ,Black     ,M,SIPPY DOWNS,7,
Bella Bear,D         ,MALTESE   ,White     ,F,LITTLE MOUNTAIN,7,
Daisy,D         ,COLLIE    ,TriColour ,F,LANDSBOROUGH,12,
Misfit,Cat       ,DOMLH     ,Grey      ,F,BEERWAH,11,
Billy,D         ,CATDGSMTHX,Red       ,M,KULUIN,7,
Tahrj,Cat       ,BURMESE   ,Chocolate ,M,PEREGIAN BEACH,12,
Pearl,D         ,TERRIERWT ,White     ,F,LANDSBOROUGH,8,
Luna,D         ,KELPIEAUS ,RedTan    ,F,TWIN WATERS,6,
Frank,D         ,HEELERX   ,WhiteBlack,M,WARANA,7,
Locky,D         ,TERRIERWT ,White     ,M,PEREGIAN SPRINGS,9,
Max,D         ,GERMNSHEPX,Gold      ,M,MAROOCHYDORE,8,
Fraser,D         ,SPANIELCK ,Roan      ,M,YAROOMBA,10,
Tully,D         ,CATTLEDOGX,Blue      ,M,BUDERIM,11,
Steele,D         ,STAFFRDAM ,Blue      ,M,LANDSBOROUGH,8,
Chuck,D         ,BULLDOGAUS,TanWhite  ,M,BUDERIM,6,
Scampy,D         ,MALTESEX  ,White     ,M,CALOUNDRA WEST,8,
Audrey,Cat       ,DOMSH     ,Tortoise  ,F,CALOUNDRA WEST,11,
Hoover,D         ,TERRIERSF ,Black     ,M,DIDDILLIBAH,7,
Wally,D         ,TERRIERAU ,TanBlack  ,M,LANDSBOROUGH,6,
Tilly,D         ,CATTLEDOGX,BlueBlack ,F,COOLUM BEACH,9,
Pippa,D         ,STAFFRDBT ,BlueWhite ,F,BLI BLI,6,
Fionn,D         ,MALTESE   ,White     ,M,COOLUM BEACH,11,
Tank,D         ,STAFFRDAMX,Black     ,M,BLI BLI,7,
Molly,Cat       ,DOMSH     ,BlackWhite,F,NIRIMBA,8,
Molly,D         ,ROTTWEILR ,BlackTan  ,F,ILKLEY,7,
Milo,D         ,TERRIERBR ,RedTan    ,M,WURTULLA,7,
Kody,D         ,SPANIELCK ,Gold      ,M,GLASS HOUSE MOUNTAINS,8,
Belle,D         ,COLLBORDR ,BlackWhite,F,NAMBOUR,6,
Emma,D         ,CATTLEDOGX,Blue      ,F,MOUNT MELLUM,6,
Bonnie,D         ,DACHSHUNDM,Red       ,F,DIDDILLIBAH,8,
Sadie,D         ,FOXTERRIE ,BlackWhite,F,MARCOOLA,15,
Winston,D         ,CAVOODLE  ,Black     ,M,PARREARRA,6,
Tonka,D         ,STAFFRDBTX,Brindle   ,M,MOUNTAIN CREEK,10,
Indy,D         ,SPOODLE   ,Black     ,F,PELICAN WATERS,7,
Mulan,D         ,RETRIEVGD ,Cream     ,F,MONS,6,
Ramsii,D         ,RETRIEVER ,Gold      ,F,KUREELPA,8,
Toba,D         ,TERRIERTN ,WhiteTan  ,F,ROSEMOUNT,8,
Freya,D         ,STAFFRDAM ,Blue      ,F,MAROOCHY RIVER,7,
Ollie,D         ,STAFFRDAMX,WhiteBlack,M,MONS,7,
Memphis,D         ,MASTIFFX  ,Tan       ,M,LITTLE MOUNTAIN,7,
Indy,D         ,BOXER     ,Tan       ,F,LITTLE MOUNTAIN,10,
Lucy,D         ,STAFFRDBT ,Blue      ,F,LITTLE MOUNTAIN,7,
Randall,D         ,MIXED     ,Black     ,M,NIRIMBA,6,
Meko,D         ,ROTTWEILR ,BlackTan  ,F,DOONAN,7,
Suki,D         ,POODLE    ,White     ,F,PEREGIAN SPRINGS,8,
Chewie,D         ,SPOODLE   ,Black     ,M,BUDDINA,7,
Brutus,D         ,BOXER     ,Brindle   ,M,AROONA,7,
Heidi,D         ,FOXTERRMNX,White     ,F,PEACHESTER,6,
Jamal,D         ,DACHSHUNDM,BlackBrown,M,WURTULLA,6,
Tahiti,D         ,LABRADOODL,Chocolate ,M,TWIN WATERS,6,
Cooper,D         ,COLLBORDR ,BlackWhite,M,BUDERIM,7,
Toffee,Cat       ,DOMSH     ,Tortoise  ,F,BUDDINA,6,
Lincoln,D         ,SPANIELSP ,BlackWhite,M,WITTA,8,
Luna,D         ,AUST. SHEP,BlueMerle ,F,MAROOCHY RIVER,7,
Maow,Cat       ,DOMSH     ,Tabby     ,F,PALMVIEW,9,
Chelsea,D         ,COLLBORDR ,BlackWhite,F,PEREGIAN SPRINGS,6,
Lucinda,Cat       ,DOMSH     ,BlackWhite,F,SIPPY DOWNS,7,
Odin,Cat       ,RAGDOLL   ,SealPoint ,M,NAMBOUR,6,
Chester,D         ,MIXED     ,Chocolate ,M,BUDERIM,10,
Barnaby,D         ,BULLMASTFX,Apricot   ,M,WOOMBYE,7,
Lexi,D         ,CATTLEDOG ,Red       ,F,MOOLOOLAH VALLEY,6,
Woody,D         ,SPANIELCK ,Chocolate ,M,PEREGIAN BEACH,7,
Tiger,D         ,STAFFRDBT ,Brindle   ,M,MOUNTAIN CREEK,6,
Oliver,D         ,COLLBORDR ,WhiteBrown,M,COES CREEK,7,
Marley,D         ,MALTESE   ,BrownWhite,M,AROONA,12,
Zazu,Cat       ,CHINCHILLA,Silver    ,M,BEERWAH,7,
Gigi,D         ,PUG       ,Black     ,F,WURTULLA,8,
Eddie,D         ,POINTRGSHX,Black     ,M,MOUNT COOLUM,8,
Malts,Cat       ,DOMSH     ,Tabby     ,F,ROSEMOUNT,10,
Woody,Cat       ,DOMMH     ,BlackWhite,M,COOLUM BEACH,6,
Samson,D         ,KELPIEAUS ,BlackTan  ,M,WITTA,14,
Rio,Cat       ,DOMSH     ,BlackGrey ,M,ROSEMOUNT,6,
Kona,D         ,LABRADORX ,Black     ,F,CALOUNDRA WEST,6,
Odin,D         ,BELGNSHEP ,Black     ,M,,7,
Jethro,D         ,BOXER     ,BrindlWhit,M,PELICAN WATERS,7,
Ivy,D         ,SHIHTZU   ,White     ,F,PARREARRA,6,
Alice,D         ,STAFFRDBTX,Tan       ,F,BLI BLI,8,
Gretel,D         ,GROODLE   ,Gold      ,F,DIDDILLIBAH,6,
Zed,D         ,STAFFRDBT ,Black     ,M,MOUNTAIN CREEK,6,
NALA,D         ,STAFFRDAMX,WhiteBrown,F,PEREGIAN SPRINGS,8,
Nahla,Cat       ,BIRMAN    ,SealPoint ,F,BUDERIM,8,
Rexy,D         ,FOXTERRIEX,TriColour ,M,GLASS HOUSE MOUNTAINS,7,
Fraser,D         ,MALTESEX  ,Grey      ,M,SIPPY DOWNS,17,
Max,D         ,STAFFRDBT ,Red       ,M,GLASS HOUSE MOUNTAINS,12,
Molly,D         ,CAVOODLE  ,Honey     ,F,CURRIMUNDI,8,
Bowie,D         ,PAPILLONX ,BlackWhite,M,PACIFIC PARADISE,7,
Michelangelo (Micky),D         ,CHIHUAHUA ,BlackBroWh,M,PEACHESTER,13,
Aussie,D         ,RIDGEBACKX,WhiteTan  ,M,NAMBOUR,8,
Agatha,D         ,BULLARABX ,BlackWhite,F,NAMBOUR,6,
Jasper,D         ,BULLARABX ,RedBlack  ,M,WURTULLA,7,
Ellie,D         ,GROODLE   ,Gold      ,F,BUDERIM,6,
Xanthe,Cat       ,DOMSH     ,Tortoise  ,F,PALMWOODS,8,
Sunshine,Cat       ,PERSIAN X ,Tabby     ,F,MERIDAN PLAINS,6,
Harlow,D         ,GREATDANE ,Black     ,F,GLASS HOUSE MOUNTAINS,6,
Molly,D         ,MALTESE   ,White     ,F,,15,
Boo,D         ,CATTLEDOGX,WhiteRed  ,F,BALD KNOB,10,
Denozo,D         ,RIDGEBACK ,Tan       ,M,LANDSBOROUGH,9,
Spunky,D         ,SPANIELAC ,BlackWhite,M,PELICAN WATERS,12,
Ayla,D         ,DACHSHUNDM,Cream     ,F,MOUNTAIN CREEK,7,
Emmett,Cat       ,SIAMESE   ,SealPoint ,M,KULUIN,11,
Billy,Cat       ,TABBY     ,Fawn      ,M,KULUIN,9,
Normie,D         ,DACHSHUNDM,Tan       ,M,GLASS HOUSE MOUNTAINS,12,
Comet,D         ,POODLEMIN ,Silver    ,M,PELICAN WATERS,7,
Poppie,Cat       ,SIAMESE   ,SealPoint ,F,MOFFAT BEACH,11,
Jack,D         ,POODLEMINX,Black     ,M,BLI BLI,6,
Milo,D         ,LABRADORX ,Black     ,M,BALD KNOB,6,
Rita,D         ,CAVOODLE  ,Ruby      ,F,COOLUM BEACH,8,
Eli,Cat       ,MANX      ,Tabby     ,M,CALOUNDRA WEST,6,
Pickles,D         ,LABRADOR  ,Chocolate ,F,MUDJIMBA,6,
Rocco,D         ,GERMNSHEP ,BlackTan  ,M,COOLUM BEACH,14,
Brock,D         ,CATTLEDOGX,Blue      ,M,GLENVIEW,7,
Ruby,D         ,HEELERX   ,Blue      ,F,SIPPY DOWNS,10,
Chilli,D         ,CHIHUAHUA ,BrownTan  ,F,MARCOOLA,9,
Boston,D         ,BULLDOGFR ,WhiteBlack,M,MAROOCHYDORE,10,
Sansa,Cat       ,BURMESE   ,Chocolate ,F,BLI BLI,7,
Claude,D         ,BASSET    ,BlackWhite,M,PARREARRA,10,
Jimbo,D         ,JACKRUSSL ,BrownWhite,M,BUDERIM,14,
Louie,D         ,POODLEX   ,BlackWhite,M,PELICAN WATERS,9,
Darcy,D         ,RETRIEVGD ,Cream     ,M,BUDERIM,6,
Momo,Cat       ,DOMSH     ,Tabby     ,F,CURRIMUNDI,10,
Butter,Cat       ,CAT       ,GoldWhite ,M,BEERWAH,11,
Luna,D         ,BEAGLE    ,WhiteTan  ,F,PALMWOODS,12,
Nova,D         ,CATTLEDOG ,White     ,F,GLASS HOUSE MOUNTAINS,7,
Benny,D         ,JACKRUSSL ,TanWhite  ,M,MOUNTAIN CREEK,10,
Sonny,D         ,COLLBORDR ,RedWhite  ,M,WURTULLA,7,
Scruffy,D         ,MALTESEX  ,BlackWhite,M,BEERBURRUM,13,
Bella,D         ,LABRADOR  ,Black     ,F,VERRIERDALE,7,
Barry,D         ,HUSKYX    ,White     ,M,CURRIMUNDI,8,
Yeti,Cat       ,DOMSH     ,SealPoint ,F,SIPPY DOWNS,21,
Molly,D         ,MALTESEX  ,Black     ,F,PALMWOODS,7,
Milly,D         ,KELPIEAUS ,Tan       ,F,WURTULLA,9,
Redy,D         ,LABRADOR  ,Black     ,M,FOREST GLEN,11,
Keira,D         ,STAFFRDBT ,Blue      ,F,BEERWAH,7,
Archibald,D         ,GERMNSHEP ,BlackTanSi,M,YANDINA,7,
Max,D         ,SHIHTZUX  ,WhiteBlakT,M,WARANA,7,
Luca,D         ,CAVOODLE  ,Red       ,F,WURTULLA,7,
Jerry,D         ,JACKRUSSLX,BeigeWhite,M,CALOUNDRA WEST,11,
Monty,Cat       ,BRITSHCAT ,SilverBlac,M,MOUNTAIN CREEK,7,
Pepper,D         ,LABRADORX ,White     ,F,MALENY,9,
Zephyr,D         ,STAFFRDBT ,Fawn      ,M,GLASS HOUSE MOUNTAINS,7,
Macca,D         ,POODLETOYX,WhiteTan  ,M,MERIDAN PLAINS,11,
Pixie,D         ,MALTESE   ,White     ,F,SIPPY DOWNS,7,
Judge,D         ,STAFFRDBT ,Black     ,M,NAMBOUR,14,
Jemma,D         ,KELPIEAUSX,Black     ,F,MAROOCHY RIVER,7,
Banjo,D         ,POINTRGSH ,BrownWhite,M,BUDERIM,7,
Bentley,D         ,RETRIEVGD ,Gold      ,M,MOUNTAIN CREEK,7,
Banjo,D         ,BEAGLEX   ,BrownWhite,M,COOLUM BEACH,10,
Rosie,D         ,GROODLE   ,Blonde    ,F,MOUNTAIN CREEK,7,
Ollie,D         ,RIDGEBACKX,BrindlWhit,M,PALMWOODS,7,
Daisy,D         ,BULLDOGAM ,WhiteBrind,F,PALMVIEW,7,
Penny Lane,D         ,DACHSHUNDM,BlackTan  ,F,GLENVIEW,14,
Maggie,D         ,MALTESEX  ,TanWhite  ,F,LITTLE MOUNTAIN,7,
Pippa,D         ,SPANIELCK ,Unknown   ,F,BUDERIM,7,
Polly,D         ,SPANIELCVX,WhiteTan  ,F,PELICAN WATERS,12,
Roxy,D         ,GREYHOUND ,Black     ,F,PEACHESTER,8,
Gretel,D         ,GERMNSHEP ,BlackTan  ,F,MERIDAN PLAINS,7,
Dorian,Cat       ,DOMSH     ,Tabby     ,M,FOREST GLEN,7,
